outcome,estimate,SE
pettybiz_dum_p1e,0.318,0.036
Any nonfarm self-employment,0.409,0.033
Started Enterprise,0.485,0.025
Average Work Hours,9.877,1.794
Agri Average Work Hours,4.002,1.3
NonAgri Average Work Hours,5.875,0.916
Average Hours Chores,1.416,1.203
zero_employment_p1e,-0.041,0.014
Index of Income,0.616,0.08
Monthly Cash Earnings,23.39,4.607
Durable Consumption Assets,0.384,0.068
Non-Durable Consumption,33.439,5.227
consaggpercap2_p1ep99_r,10.573,1.637
Durable Assets (production),0.397,0.058
Times Went Hungry,-0.084,0.036
Usual Meals per day,0.078,0.031
